非想非非想天,,,,名詞,固有名詞,一般,*,*,*,非想非非想天,ヒソウヒヒソウテン,ヒソウヒヒソウテン,東方Project
モケーレムベンベ,,,,名詞,固有名詞,一般,*,*,*,モケーレムベンベ,モケーレムベンベ,モケーレムベンベ,東方Project
リュウグウノツカイ,,,,名詞,固有名詞,一般,*,*,*,リュウグウノツカイ,リュウグウノツカイ,リュウグウノツカイ,東方Project
火焔猫,,,,名詞,固有名詞,一般,*,*,*,火焔猫,カエンネコ,カエンネコ,東方Project
火車,,,,名詞,固有名詞,一般,*,*,*,火車,カシャ,カシャ,東方Project
地獄鴉,,,,名詞,固有名詞,一般,*,*,*,地獄鴉,ジゴクガラス,ジゴクガラス,東方Project
地霊,,,,名詞,固有名詞,一般,*,*,*,地霊,チレイ,チレイ,東方Project
土蜘蛛,,,,名詞,固有名詞,一般,*,*,*,土蜘蛛,ツチグモ,ツチグモ,東方Project
釣瓶落とし,,,,名詞,固有名詞,一般,*,*,*,釣瓶落とし,ツルベオトシ,ツルベオトシ,東方Project
猫車,,,,名詞,固有名詞,一般,*,*,*,猫車,ネコグルマ,ネコグルマ,東方Project
廃獄,,,,名詞,固有名詞,一般,*,*,*,廃獄,ハイゴク,ハイゴク,東方Project
橋姫,,,,名詞,固有名詞,一般,*,*,*,橋姫,ハシヒメ,ハシヒメ,東方Project
八咫烏,,,,名詞,固有名詞,一般,*,*,*,八咫烏,ヤタガラス,ヤタガラス,東方Project
霊知,,,,名詞,固有名詞,一般,*,*,*,霊知,レイチ,レイチ,東方Project
からかさお化け,,,,名詞,固有名詞,一般,*,*,*,からかさお化け,カラカサオバケ,カラカサオバケ,東方Project
聖輦船,,,,名詞,固有名詞,一般,*,*,*,聖輦船,セイレンセン,セイレンセン,東方Project
南無三,,,,名詞,固有名詞,一般,*,*,*,南無三,ナムサン,ナムサン,東方Project
飛宝,,,,名詞,固有名詞,一般,*,*,*,飛宝,ヒホウ,ヒホー,東方Project
法界,,,,名詞,一般,*,*,*,*,法界,ホッカイ,ホッカイ,東方Project
天則,,,,名詞,固有名詞,一般,*,*,*,天則,テンソク,テンソク,東方Project
御阿礼,,,,名詞,固有名詞,一般,*,*,*,御阿礼,ミアレ,ミアレ,東方Project
幺樂団,,,,名詞,固有名詞,一般,*,*,*,幺樂団,ヨウガクダン,ヨーガクダン,東方Project
阿礼乙女,,,,名詞,固有名詞,一般,*,*,*,阿礼乙女,アレオトメ,アレオトメ,東方Project
阿礼,,,,名詞,固有名詞,一般,*,*,*,阿礼,アレ,アレ,東方Project
捨食,,,,名詞,固有名詞,一般,*,*,*,捨食,シャショク,シャショク,東方Project
妖獣,,,,名詞,一般,*,*,*,*,妖獣,ヨウジュウ,ヨージュー,東方Project
獣人,,,,名詞,一般,*,*,*,*,獣人,ジュウジン,ジュージン,東方Project
天魔,,,,名詞,一般,*,*,*,*,天魔,テンマ,テンマ,東方Project
大天狗,,,,名詞,固有名詞,一般,*,*,*,大天狗,ダイテング,ダイテング,東方Project
鴉天狗,,,,名詞,固有名詞,一般,*,*,*,鴉天狗,カラステング,カラステング,東方Project
鼻高天狗,,,,名詞,固有名詞,一般,*,*,*,鼻高天狗,ハナダカテング,ハナダカテング,東方Project
白狼天狗,,,,名詞,固有名詞,一般,*,*,*,白狼天狗,ハクロウテング,ハクロウテング,東方Project
山伏天狗,,,,名詞,固有名詞,一般,*,*,*,山伏天狗,ヤマブシテング,ヤマブシテング,東方Project
付喪神,,,,名詞,固有名詞,一般,*,*,*,付喪神,ツクモガミ,ツクモガミ,東方Project
